Model Year,Regulatory Class,Vehicle Type,Production Share,Real-World MPG,Real-World MPG_City,Real-World MPG_Hwy,Real-World CO2 (g/mi),Real-World CO2_City (g/mi),Real-World CO2_Hwy (g/mi),Weight (lbs),Horsepower (HP),Footprint (sq. ft.)
2010,All,All,1,22.59206,19.11219,26.1893,393.65429,465.33221,339.58148,4001.323,213.6361,48.54913
2010,Car,All Car,0.627501,25.70318,21.66984,29.90173,346.08157,410.49947,297.48562,3536.415,190.1856,45.43572
2010,Car,Sedan/Wagon,0.545198,26.16218,22.01937,30.48967,340.06486,404.04838,291.79659,3474.093,186.6923,45.21904
2010,Truck,All Truck,0.372499,18.7657,15.94241,21.65931,473.79406,557.70201,410.49508,4784.495,253.1402,53.79389
2010,Truck,Truck SUV,0.207388,19.68205,16.79938,22.60871,451.91844,529.47109,393.41382,4555.242,243.1933,48.30706
2010,Truck,Pickup,0.114812,16.85202,14.32492,19.43903,527.35529,620.38751,457.17309,5308.759,288.9247,63.53787
2010,Car,Car SUV,0.082303,23.02703,19.60801,26.51481,385.9378,453.23313,335.17114,3949.247,213.3254,46.87108
2010,Truck,Minivan/Van,0.050298,20.11859,16.73587,23.73819,441.73066,531.01527,374.3756,4533.047,212.4705,54.17514
2011,All,All,1,22.28844,18.83713,25.86317,398.99558,472.11781,343.83319,4125.934,229.9718,49.54439
2011,Car,All Car,0.578225,25.38827,21.32795,29.64592,350.28393,417.00325,299.95181,3616.517,200.0428,45.99051
2011,Car,Sedan/Wagon,0.477828,25.8217,21.62453,30.25109,344.45887,411.35565,293.99288,3559.086,198.5117,45.80972
2011,Truck,All Truck,0.421775,19.09259,16.23742,22.01257,465.77588,547.67607,403.99153,4824.309,271.0024,54.41651
2011,Truck,Truck SUV,0.255377,19.82269,16.91384,22.7779,448.83211,526.0224,390.60083,4665.32,257.2685,49.65835
2011,Truck,Pickup,0.123051,17.23687,14.63211,19.91075,515.58096,607.36296,446.34191,5267.786,303.833,63.92867
2011,Car,Car SUV,0.100397,23.51011,20.02107,27.06871,378.00765,443.88237,328.31269,3889.853,207.3301,46.85096
2011,Truck,Minivan/Van,0.043347,20.94922,17.56974,24.50498,424.21625,505.81271,362.66103,4502.072,258.7179,55.44647
2012,All,All,1,23.56593,19.94669,27.30319,377.31888,445.79746,325.6596,3978.812,221.7796,48.81134
2012,Car,All Car,0.64382,26.87389,22.70013,31.20175,330.77861,391.62352,284.87806,3519.494,191.9836,45.65266
2012,Car,Sedan/Wagon,0.549736,27.59971,23.27884,32.0936,322.10411,381.91993,276.9799,3451.78,188.7913,45.44823
2012,Truck,All Truck,0.35618,19.27687,16.35979,22.27286,461.44382,543.72082,399.37521,4809.062,275.6382,54.52088
2012,Truck,Truck SUV,0.206068,20.00681,17.06347,22.99968,444.93342,521.68201,387.03537,4639.557,260.5694,49.66824
2012,Truck,Pickup,0.100867,17.20749,14.58427,19.90889,516.46123,609.35496,446.3835,5334.678,316.8917,64.31795
